business_id,review_count,stars,name,address,neighborhood,city,state,postal_code,cuisine_type,price,phone ,parking,wifi,payment,restaurant_number
xmY0pzNvZKEzuN0XEqeV5w,20,4.5,Sweet Eugene's,"1702 George Bush Dr E, college station",,college station,TX,77840,coffee & tea,$2-$10,(979)980-6568,YES,YES,Discover:Master:cash,37
aj1C0D7hniEPpsTidbCQIg,54,5,555 Grill,2501 Texas Ave D-104,,college station,TX,77840,chinese,$4-$12,(979)769-5481,YES,YES,Visa: Mastercard: Discover: Cash,38
9tIYh_c2Yynt2N65epRJ1w,9,3,Ye Star chinese Buffet,1512 Texas Ave #400,,college station,TX,77840,chinese,$6-$10,(979)660-5694,NO,NO,Discover:Master:cash,39
HRFJlSAP_EBU_MpPPmpUDQ,20,4,Shiraz Shish Kabob,110 Dominik Dr,,college station,TX,77840,middle eastern,$4-$15,(979)428-3178,NO,YES,Visa:Discover:Cash,40
5-7EItFT0a7SOlpjwE39_g,3,2.5,Zand's Persian Kebabs,3105 Texas Ave,,bryan,TX,77802,middle eastern,$6-$15,(979)754-0642,NO,YES,Master:visa:Cash,41
kEq7eudoX5qdcaSLAq3axw,16,4.5,Zo舖 Kitchen,1099 University Dr #115,,college station,TX,77840,Mediterranean,$4-$12,(979)690-3276,YES,YES,Discover:Master:cash,42
UZShf6G75npKCCjiHsf46Q,9,3.5,KFC,3321 Texas Ave,,bryan,TX,77802,fast food,$4-$15,(979)729-5480,YES,YES,Visa:Discover:Cash,43
4irpCt5a5Sa72kIGyTmJ1Q,29,3.5,Long John Silver's,3224 Texas Ave,,bryan,TX,77802,fast food,$4-$12,(979)890-1245,YES,NO,Visa: Mastercard: Discover: Cash,44
KhPCS4OAr9po5hMtFhDvmg,3,4,Grub burger Bar,980 University Dr E #400,,college station,TX,77840,burgers,$2-$10,(979)896-9964,YES,YES,Master:visa:Cash,45
45arahaS6jTtYBw_STLDXg,4,4.5,Hopdoddy burger Bar,"144 Century Court, Ste. 103",,college station,TX,77840,burgers,$4-$18,(979)044-6754,YES,YES,Visa: Mastercard: Discover: Cash,46
L2fkc0j8rkEXc1bMO8-uGQ,3,4.5,Fuddruckers,1704 George Bush Dr E,,college station,TX,77840,burgers,$2-$10,(979)775-4007,YES,YES,visa:Discover:Cash,47
FLTbKRmBytP1AbjWSPEeyw,4,4.5,REV'S Grill @MSC,Central Campus,,campus,TX,77843,american,$11-$15,(979)892-9679,,,,801
1AxEmgv8Dsr3iU9Aa40jPw,75,4,M2O,Central Campus,,campus,TX,77843,burgers,$6-$11,(979)867-9008,,,,802
LLNmo66wO1xoi-yma1HybA,6,3,Smothee King,Central Campus,,campus,TX,77843,coffee & tea,$5-$10,(979)657-8754,,,,803
Wf5C8Amv_SlhoYE3_W66WQ,27,2,Pavillian Grill,Central Campus,,campus,TX,77843,american,$12-$20,(979)865-4356,,,,804
58APdML-PG_OD4El2ePTvw,344,4,Starbucks @EVANS,Central Campus,,campus,TX,77843,coffee & tea,$10-$20,(979)547-8197,,,,805
Z1r6b30Tg0n0ME4-Zj2wQQ,13,3,Brazos Valley BBQ @MSC,Central Campus,,campus,TX,77843,tex-mex,$8-$16,(979)768-4321,,,,806
-2q4dnUw0gGJniGW2aPamQ,4,2,Chick-N-Grill,Central Campus,,campus,TX,77843,american,$7-$15,(979)895-2351,,,,807
6WMSw48PHoHboOG33R8OJw,10,3.5,CABO@MSC,Central Campus,,campus,TX,77843,mexican,$5-$9,(979)760-1245,,,,808
LDMCrFlGIFUN6L-FEFgzWg,12,3,Aggie Express,Central Campus,,campus,TX,77843,burgers,$4-$9,(979)065-7821,,,,809
cBHMUESPj4SNs65Xv6xWRA,60,4,UCLUB,Central Campus,,campus,TX,77843,american,$9-$12,(979)654-9804,,,,810
uG4YxC4OA0bg6S_Yko2pMg,10,1.5,Bee Creek Pizza,Central Campus,,campus,TX,77843,fast food,$8-$13,(979)568-1254,,,,811
EvX3LA7Wc1tv1S4qrendxQ,24,4.5,ZA'TAR,Central Campus,,campus,TX,77843,mediterranean,$6-$9,(979)763-2148,,,,812
g2FSpf4OTWcQauAOWjoL-g,10,3.5,Panda Express@MSC,Central Campus,,campus,TX,77843,chinese,$8-$17,(979)856-3821,,,,813
v86J4q6ATA2ANm1fc7yCNg,23,3.5,SBISA,North Campus,,campus,TX,77843,american,$5-$14,(979)783-8122,,,,814
QTH_XGh4rWYdd0fTW-tUDw,7,3,SmashBurger,North Campus,,campus,TX,77843,burgers,$6-$9,(979)548-8120,,,,815
ghDBE0fCjRfj7_fLoXnICw,11,3.5,PAPA JOHNS @UGFC,North Campus,,campus,TX,77843,fast food,$7-$15,(979)678-5386,,,,816
gqv6zoGHSeTsNKynhjI-Ng,16,3.5,Aggie Express@UGFC,North Campus,,campus,TX,77843,burgers,$4-$9,(979)675-2312,,,,817
ynN2PeYIpufc_eSjE2Rtbg,3,4,StarBucks@HULLABALOO,North Campus,,campus,TX,77843,coffee & tea,$10-$20,(979)678-4531,,,,818
g-HSA1m2vFPjKHYnqiL6qA,6,5,Houston St. @UGFC,North Campus,,campus,TX,77843,american,$12-$17,(979)589-4378,,,,819
WKPnq7NYw4IV5IG2smpd1Q,123,3,Chick-fil-A,North Campus,,campus,TX,77843,fast food,$4-$10,(979)674-7895,,,,820
01xXe2m_z048W5gcBFpoJA,63,3.5,On the Go@BLOCKER,North Campus,,campus,TX,77843,fast food,$6-$15,(979)897-5098,,,,821
dEmNOTm8Rmm9JYZdGX_Lhw,35,4,Lime,North Campus,,campus,TX,77843,mexican,$4-48,(979)675-0056,,,,822
3J75SkvgoLikY5Z4znmHjw,4,4,Smothee King @UGFC,North Campus,,campus,TX,77843,coffee & tea,$6-$12,(979)769-5481,,,,823
efftalgKFDTs9itqHbVttg,3,4,Dining at the Commons,South Campus,,campus,TX,77843,american,$8-$16,(979)678-5643,,,,824
VoHZ4U8gvY33BxXtcsy5Rw,3,5,Southside Market @the commons,South Campus,,campus,TX,77843,american,$7-$15,(979)678-2457,,,,825
fIWozPW-2wRknzsDqdgyjg,12,5,DUNCAN,South Campus,,campus,TX,77843,american,$8-$15,(979)698-2058,,,,826
UlDvngOADDhshzMKvrMsQw,7,4,White Creek Food Truck,South Campus,,campus,TX,77843,american,$6-$12,(979)768-9559,,,,827
VrYc4SGCGXFxlNZNrwS39w,5,4.5,Aggie Express @THE commons,South Campus,,campus,TX,77843,burgers,$4-$9,(979)625-8940,,,,828
SnlaPHqW3ksKfpH12pDGeg,8,3.5,Azimuth,South Campus,,campus,TX,77843,coffee & tea,$5-$12,(979)879-5702,,,,829
Bl7Y-ATTzXytQnCceg5k6w,26,3,VET MED,West Campus,,campus,TX,77843,coffee & tea,$6-$9,(979)678-3671,,,,830
BvCHyg0GtxA6XKmRC0cQsg,18,4,AG CAFE:REV EXPRESS,West Campus,,campus,TX,77843,fast food,$6-$14,(979)679-3677,,,,831
BwNZaPoqjHYK4RMqAxSeCw,3,3.5,AG CAFE:CHICK-FIL-A,West Campus,,campus,TX,77843,fast food,$7-$14,(979)576-3452,,,,832
fl2TPNWrchkCbNEg0utjvw,14,3.5,41st club,West Campus,,campus,TX,77843,fast food,$5-$17,(979)678-4250,,,,833
MKT77UstJ5PAWyLNTuWujQ,81,4,West Side Exchange,West Campus,,campus,TX,77843,coffee & tea,$5-$19,(979)700-6243,,,,834
CD_ExwWCwGjxWYagfDBnbw,110,4.5,AG CAFE:WHICH WICH,West Campus,,campus,TX,77843,fast food,$8-$15,(979)452-2177,,,,835
FLTbKRmBytP1AbjWSPEeyw,16,4,Szechuan Cuisine,5865 W Ray Rd,,Chandler,AZ,85226,burgers,,,,,,
1AxEmgv8Dsr3iU9Aa40jPw,75,4,"Nabers Music, Bar & Eats",825 N 54th St,,Chandler,AZ,85226,burgers,,,,,,
LLNmo66wO1xoi-yma1HybA,6,3,Hyde Out,2 Fountainbridge Square,West End,Edinburgh,EDH,EH3 9QB,burgers,,,,,,
Wf5C8Amv_SlhoYE3_W66WQ,27,2,Oishi Sushi,1325 Finch Ave W,,Toronto,ON,M3J 2G5,burgers,,,,,,
58APdML-PG_OD4El2ePTvw,344,4,Le Cartet,106 Rue McGill,Ville-Marie,Montr姓al,QC,H2Y 2E5,burgers,,,,,,
Z1r6b30Tg0n0ME4-Zj2wQQ,13,3,Boardwalk Place,1675 Lake Shore Boulevard E,,Toronto,ON,M4W 3L6,burgers,,,,,,
-2q4dnUw0gGJniGW2aPamQ,4,2,Fiesta Ranchera,1805 S Neil St,,Champaign,IL,61820,burgers,,,,,,
6WMSw48PHoHboOG33R8OJw,10,1.5,Professional Property Management,401 E Springfield Ave,,Champaign,IL,61820,burgers,,,,,,
LDMCrFlGIFUN6L-FEFgzWg,12,3,El Pollo Loco,2400 E Lake Mead Blvd,,Las Vegas,NV,89030,burgers,,,,,,
cBHMUESPj4SNs65Xv6xWRA,60,4,Valvona & Crolla,19 Elm Row,New Town,Edinburgh,EDH,EH2 2YZ,burgers,,,,,,
uG4YxC4OA0bg6S_Yko2pMg,10,1.5,Krispy Kreme Doughnuts,620 E Roosevelt St,,Phoenix,AZ,85004,burgers,,,,,,
EvX3LA7Wc1tv1S4qrendxQ,24,4.5,Gunnell's Tire & Auto,1950 N Gilbert Rd,,Mesa,AZ,85203,burgers,,,,,,
g2FSpf4OTWcQauAOWjoL-g,10,3.5,Adelaide Hall,250 Adelaide Street W,Entertainment District,Toronto,ON,M5H 1X6,burgers,,,,,,
v86J4q6ATA2ANm1fc7yCNg,23,3.5,Sangria Lounge,145 Roncesvalles Avenue,High Park,Toronto,ON,M6R 2K9,burgers,,,,,,
QTH_XGh4rWYdd0fTW-tUDw,7,3.5,Baja Fresh mexican Grill,4190 S Rainbow Blvd,Spring Valley,Las Vegas,NV,89103,burgers,,,,,,
ghDBE0fCjRfj7_fLoXnICw,11,3.5,Fast Movers,"11240 N 19th Ave, Ste 23",,Phoenix,AZ,85029,burgers,,,,,,
gqv6zoGHSeTsNKynhjI-Ng,16,3.5,Desert Title Service,2815 S Alma School Rd,,Mesa,AZ,85210,burgers,,,,,,
ynN2PeYIpufc_eSjE2Rtbg,3,4,Enterprise Rent-A-Car,50 S Country Club Dr,,Mesa,AZ,85210,burgers,,,,,,
g-HSA1m2vFPjKHYnqiL6qA,6,5,The Tattoo Lounge,"1130 W Grove Ave, Ste 112",,Mesa,AZ,85210,burgers,,,,,,
WKPnq7NYw4IV5IG2smpd1Q,123,3,Celebrity Theatre,440 N 32nd St,,Phoenix,AZ,85008,burgers,,,,,,
01xXe2m_z048W5gcBFpoJA,63,3.5,Five Guys,"2641 N 44th St, Ste 100",,Phoenix,AZ,85008,burgers,,,,,,
dEmNOTm8Rmm9JYZdGX_Lhw,35,4,Ristorante Beatrice,1504 Rue Sherbrooke Ouest,Ville-Marie,Montreal,QC,H3G 1L3,burgers,,,,,,
3J75SkvgoLikY5Z4znmHjw,4,4,Farra Swan Nd,2435 E Southern Ave,,Tempe,AZ,85282,burgers,,,,,,
efftalgKFDTs9itqHbVttg,3,4,Profile Nail Spa,7872 Idlewild Rd,,indian Trail,NC,28079,burgers,,,,,,
VoHZ4U8gvY33BxXtcsy5Rw,3,3.5,Theodor-Heuss-Haus,"Feuerbacher Weg 46, Killesberg",,Stuttgart,BW,70192,burgers,,,,,,
fIWozPW-2wRknzsDqdgyjg,12,5,Box Brothers,3827 E Sunset Rd,Southeast,Las Vegas,NV,89120,burgers,,,,,,
UlDvngOADDhshzMKvrMsQw,7,5,Sun Devil Window Cleaning,,,Mesa,AZ,85213,burgers,,,,,,
VrYc4SGCGXFxlNZNrwS39w,5,4.5,Schenk's Corners Coin-Op Laundromat,2004 Winnebago St,Williamson - Marquette,Madison,WI,53704,burgers,,,,,,
SnlaPHqW3ksKfpH12pDGeg,8,3.5,Dash Designs,6014 S Ash Ave,,Tempe,AZ,85283,burgers,,,,,,
Bl7Y-ATTzXytQnCceg5k6w,26,3,Sidewalk Cafe Painesville,1 S State St,,Painesville,OH,44077,burgers,,,,,,
BvCHyg0GtxA6XKmRC0cQsg,18,4,The Great Canadian Pizza Company,278 Lakeshore Road E,Port Credit,Mississauga,ON,L5G 1H1,burgers,,,,,,
BwNZaPoqjHYK4RMqAxSeCw,3,3.5,Good Time Bar,1304 Evergreen Ave,,Pittsburgh,PA,15209,burgers,,,,,,
fl2TPNWrchkCbNEg0utjvw,14,2,Steak 'n Shake,2009 Kenyon Rd,,Urbana,IL,61802,burgers,,,,,,
MKT77UstJ5PAWyLNTuWujQ,81,3,Gigi's Cupcakes of Phoenix,4910 E Ray Rd,,Phoenix,AZ,85044,burgers,,,,,,
CD_ExwWCwGjxWYagfDBnbw,110,4.5,The Pittsburgh Popcorn Company,209 21st St,Strip District,Pittsburgh,PA,15222,burgers,,,,,,
tzHbcCa6wMyNgQD0zqaQJA,3,5,Stagehouse Vision Center,8879 Brecksville Rd,,Brecksville,OH,44141,burgers,,,,,,
b5VIe-VnkOOwiwkjGw071A,3,4,McChans Oriental Express,Gartloch Road,,Glasgow,EDH,G33 5AL,burgers,,,,,,
vfn-BKoMtOG6bf-QoU5b6Q,15,2,Phoenix NewTimes,1201 E Jefferson St,,Phoenix,AZ,85034,burgers,,,,,,
9TfpnjAKFtP1u3C3eIFQ5Q,16,4.5,Randall's Fine Art & Custom Framing,"3585 S Decatur Blvd, Ste C",Chinatown,Las Vegas,NV,89103,burgers,,,,,,
IVtp8mznb2vRO0OcwBEQMw,3,4.5,Brautatelier Tara,Silberburgstr. 171,,Stuttgart,BW,70178,burgers,,,,,,
DiA78qPtp6rfRNdomzjBbw,17,3.5,Joshan Filipino Oriental Market,6325 E Russell Rd,Southeast,Las Vegas,NV,89122,burgers,,,,,,
voF2F6emy4zrDAezPC6bkg,3,5,Colling Photography,,,Chandler,AZ,85224,burgers,,,,,,
SPdAkTJkQ_roC4dF4bvNpw,6,4.5,Tausche,Eberhardstr. 51,,Stuttgart,BW,70173,burgers,,,,,,
25lVJgvthMyvoRz-W6splw,3,2,Ghost Armor SS Springs,6555 E Southern Ave,,Mesa,AZ,85206,burgers,,,,,,
ldwon-7FnBRRblX8RirnEg,3,3.5,Progressive Insurance,500 Broadway Ave,,Bedford,OH,44146,burgers,,,,,,
IxUKeZlUE-sGTQMKErvrJg,9,4,Angel Touch Nails,"7025 N 75th Ave, Ste 103",,Glendale,AZ,85303,burgers,,,,,,
GoVRPbvG9oLfNZ54v4nYbw,14,3.5,Just Roughin' It Adventure Company,"7625 E Redfield Rd, Ste 160",,Scottsdale,AZ,85260,burgers,,,,,,
z9lq1goS0IRqeIIUEZA4Pg,3,4.5,Executive Training Solutions,"4926 E McDowell Rd, Ste 102",,Phoenix,AZ,85008,burgers,,,,,,
d2fkRF67jiASrXxHfbmJuA,3,2.5,Jade Palace,"1949 W Ray Rd, Ste 235",,Chandler,AZ,85224,burgers,,,,,,
weXoqWqLgzMOf5Yz-qiujw,5,3,Bellacino's Pizza & Grinders,"4250 Main St, Ste 100",,Harrisburg,NC,28075,burgers,,,,,,
wsyNO9Ac4gqGYTBfNeM1VA,186,4.5,Don Ruben's mexican Restaurant,4323 W Cactus Rd,,Glendale,AZ,85304,burgers,,,,,,
3MUP4WhkJcw9YPdhQ3Ma5g,3,3.5,Scuba Specialties,4139 W Bell Rd,,Phoenix,AZ,85053,burgers,,,,,,
lhryYODlAmzQLZGkwmZ8wA,3,3.5,Mayfield Village,67 Mayfield Road,,Edinburgh,EDH,EH9 3AA,burgers,,,,,,
4D68H-dtwj5qpBlx3tZtSw,9,5,Arizona Sports Chiropractic & Wellness Center,"4500 E Bell Rd, Bldg 6, Ste 152",,Phoenix,AZ,85032,burgers,,,,,,
pU126ZZjCsjH-B4LuxnNUg,13,4.5,Chuparosa Park,2400 S Dobson Rd,,Chandler,AZ,85249,burgers,,,,,,
JA-WeSdtaFagoI6doN0Sbw,26,4.5,Smallcakes Cave Creek,"28255 N Tatum Blvd, Ste 5",,Cave Creek,AZ,85331,burgers,,,,,,
ISMo_cIiMFNCwauzXwgaQQ,3,3.5,Gold's Gym,303 Boulevard Labelle,,Rosemere,QC,J7A 2H7,burgers,,,,,,
YTqtM2WFhcMZGeAGA08Cfg,330,4.5,Mariscos Playa Escondida,"1203 E Charleston Blvd, Ste 140",Downtown,Las Vegas,NV,89104,burgers,,,,,,
G_i13VUpuvnbutbN97u84g,7,4.5,Salon Picasso,"34422 N Scottsdale Rd, Ste A3",,Scottsdale,AZ,85266,burgers,,,,,,
pBAGpYFqKKQIU_E3Gfk2iA,8,3.5,Sport Clips,"3045 W Agua Fria Fwy, Ste 103",,Phoenix,AZ,85027,burgers,,,,,,
8gzRJEmYJGTCdahRKcafXw,3,2.5,Tea & Kitchen,4080 Steeles Avenue E,Scarborough,Markham,ON,L3R,burgers,,,,,,
maKBahyKfjT-_2gc47fScA,6,5,Automotive Dynamics,9902 W Santa Fe Dr,,Sun City,AZ,85351,burgers,,,,,,
k-C9Y1Fymhm_6pqlO3A9lQ,11,5,Atkins' Verona Bicycle Shoppe,517 Half Mile Rd,,Verona,WI,53593,burgers,,,,,,
3HfRVRP7dWzOzrfbZmzk-Q,3,3.5,Petrosilius,Roteb神hlplatz 33,,Stuttgart,BW,70178,burgers,,,,,,
FQCKnbmIPlg2NNq4KBSBzg,60,4.5,Bahama Buck's,"6315 Losee Rd, Ste 101",,North Las Vegas,NV,89081,burgers,,,,,,
aBGT2NQ9fSesoB93-eVj5w,13,2,Walgreens,1135 N Mesa Dr,,Mesa,AZ,85201,burgers,,,,,,
Oto60yDwk1z72WmfWEYrjg,175,3,Baja Miguel's,"South Point Hotel & Casino, 9777 S Las Vegas Blvd",Southeast,Las Vegas,NV,89183,burgers,,,,,,
EQEjBxW64QzleZHvRYA31A,4,4,Starbucks,One Oxford Centre,Downtown,Pittsburgh,PA,15219,burgers,,,,,,
5GJ60TyviQnyg2257CAGuA,71,4.5,F＼D at Salud,3306A N Davidson St,NoDa,Charlotte,NC,28205,burgers,,,,,,
hFGw70MEv4P1NqU6DIA5xg,3,3.5,Bookmaster,2949 N Scottsdale Rd,,Scottsdale,AZ,85251,burgers,,,,,,
HHJmQuTb6YR3vLY9q4tXQw,5,4,Gravitate Smoke Shop 2,7309 E Stetson Dr,,Scottsdale,AZ,85251,burgers,,,,,,
wJY74R0zAgjxvBf-d4gm9g,224,3.5,Kelly's At Southbridge,7117 E 6th Ave,,Scottsdale,AZ,85251,burgers,,,,,,
iMoFE2g4kDG4FfKLJvk3Jw,267,4,Buk Chang Dong Soon Tofu,5445 Yonge Street,Willowdale,North York,ON,M2N 5S1,burgers,,,,,,
vMRWkz0wb3g4HjW_OeAppA,3,4.5,One Las Vegas Home Owners Association,8255 Las Vegas Blvd S,Southeast,Las Vegas,NV,89123,burgers,,,,,,
7HFRdxVttyY9GiMpywhhYw,7,3,Zeppe's Pizzeria,10430 Northfield Rd,,Northfield,OH,44067,burgers,,,,,,
G7QZWVm-ytyKHpvUq3ggFA,19,3,Sal's New York Pizzeria,1322 E Carson St,South Side,Pittsburgh,PA,15203,burgers,,,,,,
0u2xwNy07-z3gv0tpuJX2Q,3,3.5,Subway,3105 Antheo Ct,,Murrysville,PA,15668,burgers,,,,,,
k4RXLrsCyHcRkb41Y5Ba5g,5,4,Detroit Lakewood Automotive,12511 Detroit Ave,,Lakewood,OH,44107,burgers,,,,,,
CFPZV3qKJItRvWHimu359w,13,3,Midas,1450 W. 117th Street,,Lakewood,OH,44107,burgers,,,,,,
dRAla9mt2a3-nF1D26VU2A,4,2,Cvs,1812 E Charleston Blvd,Downtown,Las Vegas,NV,89104,burgers,,,,,,
MJNJcMCr555bS78FuGcu-A,10,2.5,Gilbert Family Medicine,"3011 S Lindsay Rd, Ste 110",,Gilbert,AZ,85296,burgers,,,,,,
fOQBnkY3KK-qqkD-5PtrHA,8,3.5,Sgt. Clean's Car Wash,18534 Pearl Rd,,Strongsville,OH,44136,burgers,,,,,,
#NAME?,3,4,Alterations Express,17240 Royalton Rd,,Strongsville,OH,44136,burgers,,,,,,
jzdIJnpn1_H6fgKNHFsSSg,4,4,Desert West Surgery,"7200 Cathedral Rock Dr, Ste 250",,Las Vegas,NV,89128,burgers,,,,,,
oMcKvfNGX2HleFxYg1VGqg,66,2,Buonanotte,19 Mercer Street,Entertainment District,Toronto,ON,M5V 1H2,burgers,,,,,,
bSm8d6-6uxl7H1HpMOqAdw,3,4.5,Ophelie Hats,3868 Boulevard Saint-Laurent,Plateau-Mont-Royal,Montr姓al,QC,H2W 1Y2,burgers,,,,,,
c446txzKwRIU4l3R9Pa20A,5,2.5,McGann & Chester,700 Hargrove St,Mt. Washington,Pittsburgh,PA,15226,burgers,,,,,,
Q4go7pt_ygwzXLME7kW10Q,3,3,Pils-Stube Ritter,Epplestr. 2,,Stuttgart,BW,70597,burgers,,,,,,
